,graph,size,metric,time,error
300,grid,10,degree,6.604194641113281e-05,
301,grid,10,betweenness,0.00040435791015625,
302,grid,10,closeness,0.00015997886657714844,
303,grid,10,eigenvector,0.00025081634521484375,
304,grid,10,pagerank,0.004289150238037109,
305,grid,10,harmonic,0.0002377033233642578,
306,grid,20,degree,0.00011110305786132812,
307,grid,20,betweenness,0.0011875629425048828,
308,grid,20,closeness,0.00038051605224609375,
309,grid,20,eigenvector,0.0010905265808105469,
310,grid,20,pagerank,0.004114389419555664,
311,grid,20,harmonic,0.0006668567657470703,
312,grid,30,degree,0.00015401840209960938,
313,grid,30,betweenness,0.003114461898803711,
314,grid,30,closeness,0.0008854866027832031,
315,grid,30,eigenvector,0.0014040470123291016,
316,grid,30,pagerank,0.004456281661987305,
317,grid,30,harmonic,0.0013244152069091797,
318,grid,40,degree,0.0003390312194824219,
319,grid,40,betweenness,0.006299257278442383,
320,grid,40,closeness,0.0016236305236816406,
321,grid,40,eigenvector,0.0056705474853515625,
322,grid,40,pagerank,0.004788398742675781,
323,grid,40,harmonic,0.0024285316467285156,
324,grid,50,degree,0.0003979206085205078,
325,grid,50,betweenness,0.011760950088500977,
326,grid,50,closeness,0.0029244422912597656,
327,grid,50,eigenvector,0.004528999328613281,
328,grid,50,pagerank,0.0046350955963134766,
329,grid,50,harmonic,0.004161357879638672,
330,grid,60,degree,0.00026345252990722656,
331,grid,60,betweenness,0.011935710906982422,
332,grid,60,closeness,0.002924203872680664,
333,grid,60,eigenvector,0.00449371337890625,
334,grid,60,pagerank,0.004304647445678711,
335,grid,60,harmonic,0.00474095344543457,
336,grid,70,degree,0.0003418922424316406,
337,grid,70,betweenness,0.020111799240112305,
338,grid,70,closeness,0.004666805267333984,
339,grid,70,eigenvector,0.015015602111816406,
340,grid,70,pagerank,0.004711627960205078,
341,grid,70,harmonic,0.00730586051940918,
342,grid,80,degree,0.00035452842712402344,
343,grid,80,betweenness,0.01972198486328125,
344,grid,80,closeness,0.004758358001708984,
345,grid,80,eigenvector,0.015124320983886719,
346,grid,80,pagerank,0.005106210708618164,
347,grid,80,harmonic,0.006848335266113281,
348,grid,90,degree,0.00044608116149902344,
349,grid,90,betweenness,0.033376455307006836,
350,grid,90,closeness,0.008033275604248047,
351,grid,90,eigenvector,0.011554479598999023,
352,grid,90,pagerank,0.0051479339599609375,
353,grid,90,harmonic,0.011432647705078125,
354,grid,100,degree,0.0006060600280761719,
355,grid,100,betweenness,0.051725149154663086,
356,grid,100,closeness,0.012250423431396484,
357,grid,100,eigenvector,0.033158063888549805,
358,grid,100,pagerank,0.00531315803527832,
359,grid,100,harmonic,0.017373323440551758,
